# File name: C_albicans_SC5314_C_auris_B8441_orthologs.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r90
# Date created: Fri Aug 23 04:39:02 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C2_09060C_A	ASN1	CAL0000188342	B9J08_002429		CAL0000216591
C3_04820C_A	SEC7	CAL0000201823	B9J08_002421		CAL0000226587
C4_04460C_A	SAK1	CAL0000198568	B9J08_003356		CAL0000226595
C3_04920C_A		CAL0000195534	B9J08_002260		CAL0000226625
C2_06320W_A		CAL0000182353	B9J08_000081		CAL0000226679
CR_02600W_A		CAL0000200377	B9J08_004093		CAL0000226703
C5_04360C_A		CAL0000194158	B9J08_004359		CAL0000226719
CR_08050C_A		CAL0000189664	B9J08_000099		CAL0000226777
C2_05080C_A		CAL0000192284	B9J08_002482		CAL0000226813
C2_07840W_A		CAL0000193619	B9J08_005171		CAL0000226879
C4_00520W_A	PAM18	CAL0000200634	B9J08_004412		CAL0000217061
C6_04550C_A		CAL0000191516	B9J08_005441		CAL0000217101
C1_01060W_A	MBF1	CAL0000194672	B9J08_002970		CAL0000217117
C2_04600C_A	RPL17B	CAL0000193181	B9J08_003127		CAL0000217123
C4_04390W_A		CAL0000196794	B9J08_001885		CAL0000217163
C4_05600W_A	GYP2	CAL0000194959	B9J08_005035		CAL0000217171
C3_06570C_A	OPI3	CAL0000189933	B9J08_002381		CAL0000217191
C4_02060C_A	TFG1	CAL0000187824	B9J08_001400		CAL0000217197
C1_00330C_A		CAL0000200147	B9J08_002590		CAL0000220645
CR_00600C_A		CAL0000194294	B9J08_000690		CAL0000220651
C2_03760C_A		CAL0000196062	B9J08_005330		CAL0000220655
C1_07560W_A		CAL0000190976	B9J08_003149		CAL0000220665
C3_02990C_A		CAL0000198826	B9J08_001198		CAL0000223245
CR_02500W_A		CAL0000198328	B9J08_004168		CAL0000223277
C5_00770C_A	FOL1	CAL0000194395	B9J08_001330		CAL0000223351
C1_03090W_A	RPS1	CAL0000192592	B9J08_004956		CAL0000223363
CR_02090C_A	CET1	CAL0000199068	B9J08_000979		CAL0000223415
CR_09620C_A		CAL0000192557	B9J08_002442		CAL0000223437
C1_14340C_A	RIM101	CAL0000174156	B9J08_003060		CAL0000223493
C3_02130W_A	UTP4	CAL0000184134	B9J08_005338		CAL0000223507
C1_03750W_A		CAL0000180110	B9J08_003226		CAL0000223509
C1_13050W_A	RPL14	CAL0000179395	B9J08_004146		CAL0000223525
C6_01610W_A	ANB1	CAL0000197571	B9J08_005387		CAL0000223533
CR_10620C_A		CAL0000192734	B9J08_004120		CAL0000223567
C5_02150C_A	ORC4	CAL0000191715	B9J08_003892		CAL0000223569
CR_09720W_A	VMA22	CAL0000190212	B9J08_003686		CAL0000223581
C3_07050W_A		CAL0000178918	B9J08_004752		CAL0000223587
C2_02160W_A	SAM37	CAL0000191785	B9J08_001187		CAL0000223589
CR_10670W_A	CPR6	CAL0000193303	B9J08_004115		CAL0000223799
C4_01490W_A	NIP1	CAL0000176830	B9J08_003294		CAL0000223601
C4_01950W_A		CAL0000197252	B9J08_002203		CAL0000223603
C2_07000W_A		CAL0000192897	B9J08_002805		CAL0000223607
C1_00550W_A	CIS2	CAL0000184736	B9J08_003232		CAL0000223665
CR_09420C_A	BGL22	CAL0000178656	B9J08_001665		CAL0000223727
C7_04200C_A		CAL0000200169	B9J08_005427		CAL0000223737
C3_03170W_A	SEC13	CAL0000177077	B9J08_001099		CAL0000223743
C1_07240W_A	YPD1	CAL0000174022	B9J08_004227		CAL0000220539
CR_00800C_A	PWP2	CAL0000174443	B9J08_001024		CAL0000220589
CR_06060W_A		CAL0000188224	B9J08_002500		CAL0000220565
CR_06780W_A		CAL0000189740	B9J08_002075		CAL0000220571
C1_04290C_A	ACS2	CAL0000197968	B9J08_003365		CAL0000220611
CR_07250C_A		CAL0000193986	B9J08_000581		CAL0000220623
CR_06480C_A	RRN11	CAL0000185586	B9J08_003990		CAL0000220803
C4_00570C_A	PCT1	CAL0000199421	B9J08_004408		CAL0000224085
CR_08290W_A		CAL0000185294	B9J08_000584		CAL0000224093
CR_00460C_A		CAL0000189738	B9J08_000699		CAL0000224127
C5_02890W_A	YNK1	CAL0000191707	B9J08_000816		CAL0000224129
C6_01150W_A	CDC20	CAL0000185508	B9J08_004370		CAL0000224163
C4_01980C_A	CLC1	CAL0000187026	B9J08_002206		CAL0000224167
C6_01740C_A	ATG15	CAL0000191921	B9J08_005379		CAL0000224169
C5_05380W_A	RPN5	CAL0000201152	B9J08_005246		CAL0000224179
CR_03470W_A		CAL0000199054	B9J08_002654		CAL0000224183
C7_02980C_A	SFI1	CAL0000182621	B9J08_000736		CAL0000224193
C1_13280C_A		CAL0000187987	B9J08_001784		CAL0000224221
C2_01520W_A	PPE1	CAL0000196033	B9J08_003865		CAL0000224253
CR_01260W_A		CAL0000175316	B9J08_005348		CAL0000224255
C4_05140C_A	GDB1	CAL0000189511	B9J08_005581		CAL0000224261
C2_03460C_A		CAL0000195839	B9J08_004274		CAL0000220851
CR_07420W_A	KGD2	CAL0000176210	B9J08_000469		CAL0000220863
C1_05740C_A		CAL0000200000	B9J08_004575		CAL0000224309
C1_11660W_A	GAD1	CAL0000195622	B9J08_001591		CAL0000224317
C6_04430W_A	CST5	CAL0000188496	B9J08_000842		CAL0000224335
C2_07790C_A		CAL0000175207	B9J08_005177		CAL0000224365
CR_02540W_A	CHO2	CAL0000189790	B9J08_004182		CAL0000224367
C1_10910C_A		CAL0000175639	B9J08_000240		CAL0000220883
C6_02470W_A		CAL0000185251	B9J08_001071		CAL0000222095
C5_00510W_A		CAL0000199121	B9J08_000441		CAL0000222271
C4_00540C_A	NMD5	CAL0000193918	B9J08_004132		CAL0000222455
C7_01620C_A	KCH1	CAL0000200286	B9J08_005424		CAL0000222569
C2_08280W_A	EAF3	CAL0000193590	B9J08_005074		CAL0000224381
C2_05710C_A		CAL0000183633	B9J08_000878		CAL0000224393
C4_02170C_A		CAL0000180378	B9J08_001405		CAL0000224427
C5_00280C_A		CAL0000174323	B9J08_001295		CAL0000224437
C1_03300C_A	MAS1	CAL0000195289	B9J08_000636		CAL0000224449
C2_05480C_A		CAL0000184059	B9J08_004483		CAL0000225233
C6_00640C_A		CAL0000195519	B9J08_005398		CAL0000225239
C1_02190W_A	ABP140	CAL0000183988	B9J08_000942		CAL0000223861
CR_05830C_A	ISC1	CAL0000175369	B9J08_004259		CAL0000223865
CR_09600C_A	YKE2	CAL0000187726	B9J08_002440		CAL0000223911
C1_01130W_A		CAL0000190294	B9J08_003403		CAL0000223935
C2_03270W_A	GPM1	CAL0000185566	B9J08_004375		CAL0000223953
C7_03520W_A	PNC1	CAL0000183035	B9J08_002122		CAL0000223977
C1_08460C_A	UPC2	CAL0000191743	B9J08_000270		CAL0000223989
C6_02520W_A	ISA1	CAL0000189095	B9J08_001641		CAL0000224021
C2_07290W_A		CAL0000183521	B9J08_001135		CAL0000224049
C3_04020C_A	ZCF16	CAL0000179513	B9J08_002628		CAL0000224499
C1_05380C_A		CAL0000184448	B9J08_004521		CAL0000224501
C2_03540W_A	RAD32	CAL0000186115	B9J08_003457		CAL0000224549
C5_01170W_A		CAL0000178317	B9J08_000427		CAL0000224573
C2_04500W_A		CAL0000194262	B9J08_003720		CAL0000224581
C1_07180W_A	CCS1	CAL0000176166	B9J08_003869		CAL0000225419
CR_07950W_A	IMP4	CAL0000181923	B9J08_002081		CAL0000225443
C3_05950W_A		CAL0000190447	B9J08_002007		CAL0000225449
C1_09720W_A	URA1	CAL0000178448	B9J08_002742		CAL0000225469
CR_07000C_A	POL2	CAL0000195005	B9J08_001693		CAL0000225473
C1_02850W_A		CAL0000193097	B9J08_003264		CAL0000225481
C3_01800C_A		CAL0000174101	B9J08_001906		CAL0000225485
C3_01790C_A		CAL0000180239	B9J08_001898		CAL0000225505
C1_07490C_A		CAL0000183205	B9J08_003155		CAL0000225549
C6_04030W_A	ALG2	CAL0000176395	B9J08_003714		CAL0000225575
C7_01710W_A		CAL0000184596	B9J08_005092		CAL0000225591
C7_00280W_A	HGT12	CAL0000179365	B9J08_002250		CAL0000225655
C2_08670C_A	UTP15	CAL0000175436	B9J08_003021		CAL0000225657
C4_05030C_A	SSK2	CAL0000187689	B9J08_005216		CAL0000225691
C3_04950W_A	ARF2	CAL0000178804	B9J08_002276		CAL0000225697
CR_06560C_A		CAL0000175245	B9J08_001084		CAL0000225707
C3_03250W_A		CAL0000175287	B9J08_002346		CAL0000225709
CR_07100W_A	FLC2	CAL0000201447	B9J08_000473		CAL0000225741
C3_07000W_A	RPD31	CAL0000185568	B9J08_004747		CAL0000225767
C1_12960C_A	BNI1	CAL0000188644	B9J08_004138		CAL0000225787
C2_07190C_A		CAL0000177740	B9J08_002786		CAL0000225835
C3_04490W_A	RAX1	CAL0000183009	B9J08_003954		CAL0000225863
C3_06560W_A		CAL0000173988	B9J08_002382		CAL0000216595
CR_06520C_A		CAL0000189481	B9J08_003986		CAL0000216429
C4_06000W_A	ALG1	CAL0000174251	B9J08_002874		CAL0000216513
C3_02010C_A		CAL0000188412	B9J08_004165		CAL0000216057
C1_08090C_A	FUN12	CAL0000190309	B9J08_004230		CAL0000216165
C1_00680W_A	ASM3	CAL0000190930	B9J08_000509		CAL0000216179
C6_01350W_A		CAL0000200284	B9J08_005408		CAL0000216565
C1_09760C_A	SHY1	CAL0000182145	B9J08_002745		CAL0000216473
C6_01170W_A	CIC1	CAL0000187983	B9J08_001118		CAL0000216481
C7_03320C_A	MED16	CAL0000174522	B9J08_003790		CAL0000216413
C1_10210C_A	CLA4	CAL0000192143	B9J08_004028		CAL0000216417
C5_01950C_A	RIM21	CAL0000199829	B9J08_004815		CAL0000216497
CR_02170W_A	MET2	CAL0000174790	B9J08_002708		CAL0000216799
C6_02480W_A		CAL0000187810	B9J08_001067		CAL0000216899
C3_03280C_A	HTA3	CAL0000185932	B9J08_003996		CAL0000216813
C1_01650W_A	ISN1	CAL0000179159	B9J08_001687		CAL0000216741
CR_01670W_A		CAL0000178414	B9J08_001763		CAL0000216911
CR_01060W_A	LAG1	CAL0000185837	B9J08_004239		CAL0000216815
C4_00620C_A	SPC2	CAL0000201813	B9J08_003523		CAL0000216685
C6_02730W_A	SAC6	CAL0000191261	B9J08_001432		CAL0000216507
C1_11530C_A		CAL0000196426	B9J08_001570		CAL0000216509
C3_05650W_A	YCK2	CAL0000192790	B9J08_004977		CAL0000216869
C1_06480C_A		CAL0000185928	B9J08_000603		CAL0000216711
CR_07580C_A	TSC11	CAL0000200181	B9J08_002083		CAL0000216641
CR_02590C_A		CAL0000193710	B9J08_004094		CAL0000216647
CR_07040W_A	SPT10	CAL0000177959	B9J08_002077		CAL0000216877
C1_04280C_A		CAL0000178044	B9J08_003366		CAL0000216651
CR_06830C_A	SIW14	CAL0000187370	B9J08_002070		CAL0000216723
C3_03190C_A		CAL0000190751	B9J08_000445		CAL0000216991
C2_01440C_A		CAL0000184450	B9J08_003859		CAL0000216997
C4_02720C_A		CAL0000175743	B9J08_003914		CAL0000217001
C5_01540W_A		CAL0000187802	B9J08_002921		CAL0000216927
C6_02720C_A		CAL0000193295	B9J08_001431		CAL0000217019
C3_00130C_A		CAL0000181297	B9J08_001779		CAL0000218735
C4_00530C_A		CAL0000175833	B9J08_003541		CAL0000218769
C1_00750C_A	VPS27	CAL0000186855	B9J08_004948		CAL0000218793
C5_01590W_A		CAL0000191482	B9J08_002340		CAL0000217999
C1_10380C_A	CBK1	CAL0000198853	B9J08_000822		CAL0000217405
C3_06070C_A	PBS2	CAL0000184846	B9J08_001824		CAL0000217469
C7_03880C_A		CAL0000185793	B9J08_004646		CAL0000217417
C1_07870C_A	SMI1	CAL0000199204	B9J08_001604		CAL0000217495
CR_02770C_A		CAL0000190409	B9J08_001654		CAL0000217347
C4_02080W_A		CAL0000179012	B9J08_001399		CAL0000217429
C1_05620C_A	STE3	CAL0000190867	B9J08_005083		CAL0000217281
C1_10120C_A		CAL0000190129	B9J08_004025		CAL0000217365
CR_03380W_A	MTG1	CAL0000191474	B9J08_002983		CAL0000217377
C5_04290C_A		CAL0000181390	B9J08_004356		CAL0000217521
C5_02560C_A		CAL0000188870	B9J08_002133		CAL0000217525
C6_03380W_A		CAL0000175912	B9J08_001439		CAL0000217531
C2_07140W_A		CAL0000187183	B9J08_002791		CAL0000217561
C1_02840W_A	PDE2	CAL0000178266	B9J08_003265		CAL0000217579
C1_13570W_A	MPT5	CAL0000185028	B9J08_004627		CAL0000217597
C2_07860W_A		CAL0000194330	B9J08_004198		CAL0000219919
CR_00710C_A		CAL0000194659	B9J08_002157		CAL0000220081
C5_00170W_A		CAL0000194643	B9J08_004527		CAL0000220091
C1_11850W_A		CAL0000198771	B9J08_001235		CAL0000220097
C1_01630W_A		CAL0000177587	B9J08_001685		CAL0000220099
C1_07000W_A	MEF2	CAL0000188276	B9J08_003834		CAL0000220103
C1_05200C_A		CAL0000201611	B9J08_002525		CAL0000220111
C6_00490W_A		CAL0000193235	B9J08_000516		CAL0000220135
CR_01290C_A	CWH43	CAL0000195009	B9J08_005351		CAL0000217631
C2_01610C_A	RPS26A	CAL0000180001	B9J08_000142		CAL0000220169
C1_05760C_A	PGA26	CAL0000181671	B9J08_004577		CAL0000220177
C1_04460C_A		CAL0000201235	B9J08_001733		CAL0000220205
CR_03360W_A		CAL0000180806	B9J08_002981		CAL0000220207
C1_11100W_A		CAL0000199544	B9J08_005302		CAL0000220233
C4_05090C_A	SRB8	CAL0000179075	B9J08_005212		CAL0000220255
C7_00590W_A		CAL0000184538	B9J08_001159		CAL0000220265
C5_02530W_A	UAP1	CAL0000180804	B9J08_004381		CAL0000220281
C2_04760W_A	KIC1	CAL0000180380	B9J08_002945		CAL0000220287
C4_03430W_A	MOH1	CAL0000187831	B9J08_003595		CAL0000220293
C3_02810C_A	FAA21	CAL0000178021	B9J08_002781		CAL0000220351
C1_07600W_A	ATP7	CAL0000180826	B9J08_003146		CAL0000217729
C6_00590W_A	SLY41	CAL0000178160	B9J08_004592		CAL0000217781
C7_00530C_A	PSF3	CAL0000201451	B9J08_000394		CAL0000220359
C3_04480C_A	RAS2	CAL0000181665	B9J08_000287		CAL0000220361
C3_04670C_A	RPS15	CAL0000179139	B9J08_003755		CAL0000220363
C2_07210C_A	TPK2	CAL0000181882	B9J08_002788		CAL0000220377
C1_11150W_A		CAL0000199691	B9J08_005306		CAL0000220433
C2_05510C_A		CAL0000187423	B9J08_003139		CAL0000220447
C4_01460C_A		CAL0000177696	B9J08_004454		CAL0000220469
C4_04500C_A		CAL0000196328	B9J08_000915		CAL0000220493
C7_03840W_A		CAL0000188205	B9J08_003870		CAL0000220507
C3_06540C_A		CAL0000190629	B9J08_002384		CAL0000220889
C4_00140C_A	HIS4	CAL0000177625	B9J08_003463		CAL0000220903
C1_11400C_A	GIN4	CAL0000191817	B9J08_005249		CAL0000220995
C4_02900C_A	CRH11	CAL0000181029	B9J08_004410		CAL0000221015
C3_02190C_A		CAL0000200373	B9J08_002639		CAL0000221029
C2_10340W_A	HEM4	CAL0000185290	B9J08_003999		CAL0000221033
C1_08750W_A	YMC2	CAL0000178309	B9J08_000342		CAL0000221097
C2_00490W_A		CAL0000174052	B9J08_002191		CAL0000221105
C7_02660C_A		CAL0000175092	B9J08_001035		CAL0000221111
C4_06720W_A	NOP1	CAL0000195815	B9J08_001803		CAL0000221115
C5_03620W_A	BTS1	CAL0000181440	B9J08_001553		CAL0000221119
C1_08560W_A	TCP1	CAL0000181702	B9J08_000264		CAL0000221133
C3_04340W_A	ATF1	CAL0000176644	B9J08_005513		CAL0000224015
C2_06370C_A	SCP1	CAL0000190286	B9J08_000076		CAL0000224655
C1_06630W_A		CAL0000200747	B9J08_001109		CAL0000224697
CR_01570W_A		CAL0000194649	B9J08_000377		CAL0000224699
C2_04060C_A	SSY1	CAL0000180720	B9J08_003623		CAL0000224745
C7_02970W_A	ECM39	CAL0000200311	B9J08_000737		CAL0000224751
C4_02300W_A	HOS3	CAL0000178358	B9J08_001423		CAL0000224777
C1_01290C_A		CAL0000176136	B9J08_002017		CAL0000224809
C1_00190C_A		CAL0000186780	B9J08_004179		CAL0000224815
C4_00110C_A	FRP1	CAL0000187683	B9J08_004468		CAL0000224839
CR_09860W_A	YTA6	CAL0000185972	B9J08_005166		CAL0000224843
CR_04040C_A	SPT14	CAL0000182058	B9J08_001845		CAL0000224883
C5_02120C_A	RIX7	CAL0000179059	B9J08_001939		CAL0000224893
C1_13060C_A		CAL0000175777	B9J08_004147		CAL0000224895
C1_00350C_A	HMX1	CAL0000188588	B9J08_004152		CAL0000224911
CR_00190W_A	NGS1	CAL0000182028	B9J08_002670		CAL0000224913
C5_04570C_A	URA7	CAL0000193754	B9J08_004393		CAL0000224919
C7_01500W_A		CAL0000176950	B9J08_004871		CAL0000224921
C3_03790W_A	MEU1	CAL0000179927	B9J08_001684		CAL0000224937
C2_02040W_A		CAL0000193517	B9J08_001197		CAL0000224955
CR_08490W_A	TSR1	CAL0000183541	B9J08_000120		CAL0000224985
C1_05830W_A		CAL0000185094	B9J08_002537		CAL0000224987
C5_01580C_A	CEF3	CAL0000190871	B9J08_002813		CAL0000225031
C6_01000C_A		CAL0000197216	B9J08_001114		CAL0000225037
C7_00890C_A	MCM1	CAL0000194125	B9J08_003278		CAL0000225049
C6_04080W_A		CAL0000186537	B9J08_001927		CAL0000218867
C2_07130C_A	RCK2	CAL0000193471	B9J08_002792		CAL0000218887
C1_11920W_A		CAL0000196590	B9J08_002909		CAL0000218889
C2_03020C_A		CAL0000175175	B9J08_004964		CAL0000218891
C5_04300C_A		CAL0000193256	B9J08_004357		CAL0000218905
C3_00110C_A	SEC6	CAL0000177424	B9J08_001780		CAL0000218917
C6_04040C_A	RVS167	CAL0000200028	B9J08_000790		CAL0000219005
C1_14250C_A		CAL0000196890	B9J08_003056		CAL0000219013
C1_07800W_A	MTO1	CAL0000190865	B9J08_001598		CAL0000219063
CR_09010C_A		CAL0000185607	B9J08_005518		CAL0000219075
C1_08920W_A		CAL0000181949	B9J08_004185		CAL0000219089
CR_01760C_A	FRS1	CAL0000190210	B9J08_001176		CAL0000219177
CR_07700W_A		CAL0000201015	B9J08_000579		CAL0000219205
C6_03830W_A	SAL6	CAL0000188678	B9J08_001124		CAL0000219227
C1_12620W_A	SPA2	CAL0000187833	B9J08_003960		CAL0000219257
C6_02410W_A		CAL0000197881	B9J08_001063		CAL0000219353
C6_04440C_A		CAL0000175079	B9J08_000841		CAL0000224789
C1_14280C_A	NPL3	CAL0000201005	B9J08_003053		CAL0000225077
CR_06730W_A	APG7	CAL0000178896	B9J08_005131		CAL0000227093
CR_00360C_A	LEU1	CAL0000187273	B9J08_004781		CAL0000218963
C1_09880C_A	BUD31	CAL0000199633	B9J08_003547		CAL0000220955
C3_00250C_A	TIM44	CAL0000195007	B9J08_005023		CAL0000220973
C4_01410W_A	BEM1	CAL0000181921	B9J08_004456		CAL0000225149
C4_04880W_A	FGR10	CAL0000188326	B9J08_002717		CAL0000225155
C1_04600C_A		CAL0000195654	B9J08_000019		CAL0000225169
C3_01330W_A	ZCF8	CAL0000179369	B9J08_003301		CAL0000225211
C1_00740C_A	SPE1	CAL0000182839	B9J08_004949		CAL0000225257
C3_05160C_A		CAL0000186628	B9J08_003094		CAL0000225287
C3_05050W_A	TRY4	CAL0000199253	B9J08_002266		CAL0000225307
C2_08620W_A		CAL0000175986	B9J08_004586		CAL0000225323
C4_02090C_A		CAL0000180234	B9J08_001396		CAL0000225325
C1_07880C_A	GCS1	CAL0000193135	B9J08_001605		CAL0000225329
C4_06480C_A	CEK1	CAL0000176774	B9J08_000458		CAL0000225345
C1_01850C_A		CAL0000175047	B9J08_004620		CAL0000225389
C1_04710C_A		CAL0000175312	B9J08_001736		CAL0000225409
C2_09690C_A		CAL0000195295	B9J08_002397		CAL0000225635
C3_03710W_A	CCC1	CAL0000198298	B9J08_002258		CAL0000227643
C1_09870W_A	HCM1	CAL0000174229	B9J08_003546		CAL0000216063
C1_10820C_A		CAL0000182254	B9J08_000251		CAL0000216131
C3_06530W_A		CAL0000180470	B9J08_002385		CAL0000216139
C1_13720W_A		CAL0000187064	B9J08_002506		CAL0000216143
C6_00170C_A		CAL0000199093	B9J08_002160		CAL0000216169
C2_05290C_A		CAL0000195459	B9J08_005011		CAL0000216177
C2_05890C_A	IDP1	CAL0000190303	B9J08_003180		CAL0000216209
C3_00530C_A		CAL0000197627	B9J08_003824		CAL0000216219
C7_00300W_A		CAL0000175025	B9J08_000836		CAL0000216229
C6_00350W_A	PKH3	CAL0000179865	B9J08_000524		CAL0000216235
C7_01550W_A	BEM2	CAL0000181133	B9J08_004729		CAL0000216249
CR_02980C_A	SRP40	CAL0000197163	B9J08_003014		CAL0000216265
CR_03890W_A	WOR3	CAL0000189623	B9J08_002545		CAL0000216277
C1_02620C_A	HOM6	CAL0000188452	B9J08_000055		CAL0000216281
C2_06510W_A		CAL0000174326	B9J08_003191		CAL0000216285
CR_05900W_A		CAL0000201783	B9J08_001445		CAL0000216289
CR_09110C_A		CAL0000179322	B9J08_004497		CAL0000216313
CR_04590C_A	PDX3	CAL0000195497	B9J08_004837		CAL0000216327
C3_07610W_A	TIP120	CAL0000174904	B9J08_001754		CAL0000216397
C1_00420W_A		CAL0000182735	B9J08_003166		CAL0000217731
C6_03110C_A		CAL0000191787	B9J08_002518		CAL0000217737
C4_04450C_A	ATG1	CAL0000188572	B9J08_003355		CAL0000217739
C1_06730W_A	RAC1	CAL0000196388	B9J08_003599		CAL0000217743
C1_14170W_A		CAL0000190845	B9J08_003319		CAL0000217755
C2_08040C_A	RPS10	CAL0000177647	B9J08_003107		CAL0000217771
C2_09140C_A	MET10	CAL0000199215	B9J08_003552		CAL0000217789
C1_05190C_A		CAL0000184657	B9J08_002528		CAL0000217805
C5_03700C_A		CAL0000183474	B9J08_001543		CAL0000217813
CR_06420W_A	PPZ1	CAL0000189734	B9J08_003983		CAL0000217857
C6_00140C_A	HPA2	CAL0000189823	B9J08_002171		CAL0000217867
C3_03160C_A		CAL0000184955	B9J08_001100		CAL0000217899
C3_04630W_A		CAL0000185510	B9J08_003750		CAL0000218063
C1_10410W_A		CAL0000201370	B9J08_000825		CAL0000218087
C2_03250W_A	AVT7	CAL0000177675	B9J08_002102		CAL0000218095
C2_03230C_A	FEN12	CAL0000193175	B9J08_000511		CAL0000218101
CR_04100C_A	RPL15A	CAL0000190553	B9J08_001851		CAL0000218115
C6_03730C_A		CAL0000181894	B9J08_004238		CAL0000218117
CR_02130W_A	ECM4	CAL0000196854	B9J08_001103		CAL0000218169
C3_06520C_A		CAL0000186381	B9J08_002386		CAL0000218195
C2_03180C_A	TOM1	CAL0000176024	B9J08_000513		CAL0000218197
C2_02310W_A		CAL0000181355	B9J08_003651		CAL0000218199
C6_02690C_A		CAL0000201649	B9J08_001077		CAL0000218267
C2_10560C_A	ZSF1	CAL0000194006	B9J08_003587		CAL0000218279
C1_10160W_A	MIR1	CAL0000184756	B9J08_004038		CAL0000218321
C3_03660W_A	IRS4	CAL0000177117	B9J08_002003		CAL0000218357
CR_00510C_A	ADE1	CAL0000196632	B9J08_002994		CAL0000218373
C2_07260C_A	DQD1	CAL0000191356	B9J08_002783		CAL0000218379
C3_06250W_A	ERV25	CAL0000183368	B9J08_000039		CAL0000218383
C7_00310C_A		CAL0000194529	B9J08_003913		CAL0000218389
C2_06640C_A	VAS1	CAL0000181624	B9J08_002826		CAL0000218395
C7_00440C_A	GBP2	CAL0000178755	B9J08_000226		CAL0000218463
C4_04840C_A	AGP3	CAL0000176516	B9J08_001362		CAL0000218475
C1_13650C_A		CAL0000195642	B9J08_000489		CAL0000218517
C5_00380W_A		CAL0000199564	B9J08_001312		CAL0000218609
CR_03120W_A		CAL0000191885	B9J08_000358		CAL0000218649
C1_03830C_A		CAL0000197512	B9J08_004983		CAL0000218655
C2_07120W_A	RFA2	CAL0000176295	B9J08_002794		CAL0000221335
C1_09960W_A	PET100	CAL0000185665	B9J08_001584		CAL0000221367
C1_01050C_A		CAL0000194246	B9J08_002971		CAL0000221377
C3_00320W_A	RHR2	CAL0000177047	B9J08_004378		CAL0000221379
C1_06570W_A	ANT1	CAL0000199020	B9J08_003678		CAL0000223005
C5_04530W_A		CAL0000186555	B9J08_004396		CAL0000223017
C7_02030W_A	HSP90	CAL0000201062	B9J08_004918		CAL0000223047
C3_01730C_A	UTR2	CAL0000175165	B9J08_001901		CAL0000223067
C6_02980C_A		CAL0000178336	B9J08_004866		CAL0000221419
C4_02790C_A	SAS10	CAL0000185070	B9J08_002211		CAL0000221443
C2_09260C_A	GLO2	CAL0000189186	B9J08_000682		CAL0000221445
C4_05310W_A		CAL0000183261	B9J08_003204		CAL0000221457
CR_03850W_A	HGT3	CAL0000177617	B9J08_004692		CAL0000221463
C7_03620C_A		CAL0000200569	B9J08_002111		CAL0000221479
CR_02040W_A	PRK1	CAL0000183416	B9J08_000753		CAL0000221481
C1_14210C_A	IML2	CAL0000188632	B9J08_003315		CAL0000223077
C2_04100W_A		CAL0000182979	B9J08_004482		CAL0000223099
C1_01670C_A	ESP1	CAL0000192671	B9J08_003900		CAL0000223105
C2_09300W_A	MED18	CAL0000197175	B9J08_003029		CAL0000223113
CR_07310W_A		CAL0000199024	B9J08_000575		CAL0000223135
CR_08410W_A		CAL0000175606	B9J08_000121		CAL0000223185
C3_01930W_A	PXP2	CAL0000188703	B9J08_001741		CAL0000221519
C2_08530C_A		CAL0000180997	B9J08_004016		CAL0000221535
C7_01840W_A	IQG1	CAL0000175167	B9J08_004935		CAL0000221543
C4_03190W_A		CAL0000199070	B9J08_004345		CAL0000221547
C6_00410C_A	SRO77	CAL0000180340	B9J08_000520		CAL0000221569
C4_05420C_A	TSC2	CAL0000194326	B9J08_003212		CAL0000221571
C6_03790C_A	HGT10	CAL0000200530	B9J08_000938		CAL0000221581
C5_00180W_A	AFL1	CAL0000183779	B9J08_001297		CAL0000221585
CR_09550C_A	NUO1	CAL0000193252	B9J08_002436		CAL0000221593
CR_03830C_A	MCM2	CAL0000193282	B9J08_005476		CAL0000221605
C3_02080W_A		CAL0000185218	B9J08_000206		CAL0000221621
C7_01440W_A		CAL0000190391	B9J08_003431		CAL0000221689
CR_02330C_A	KAR4	CAL0000190735	B9J08_000981		CAL0000221725
C1_03400W_A		CAL0000188375	B9J08_000777		CAL0000221727
C1_05940W_A	PHO87	CAL0000193556	B9J08_001832		CAL0000221743
C1_14200W_A		CAL0000180152	B9J08_003316		CAL0000221793
CR_09770C_A	PMT5	CAL0000185574	B9J08_003692		CAL0000221801
C4_02610C_A	SUL2	CAL0000182617	B9J08_000995		CAL0000221821
C6_00740W_A	FAT1	CAL0000176828	B9J08_001861		CAL0000221867
C3_02470C_A	RPL9B	CAL0000184881	B9J08_002367		CAL0000221891
C1_04310C_A	GIG1	CAL0000193934	B9J08_003370		CAL0000221895
C4_01510W_A		CAL0000178772	B9J08_003292		CAL0000219269
CR_07470W_A		CAL0000190160	B9J08_000580		CAL0000219271
CR_08060C_A	VPS21	CAL0000181874	B9J08_000098		CAL0000219281
CR_08070W_A	PTP1	CAL0000179853	B9J08_000100		CAL0000219323
C2_00450C_A	CDH1	CAL0000182223	B9J08_001647		CAL0000219331
C3_06380W_A	NSA2	CAL0000197650	B9J08_004625		CAL0000219333
C4_03890W_A	PTP2	CAL0000192372	B9J08_000307		CAL0000221951
C2_01270W_A	CHA1	CAL0000177673	B9J08_003046		CAL0000221959
C3_00720W_A	PMA1	CAL0000187161	B9J08_002855		CAL0000221969
